EG	Gene	Syn	Protein	Function	Description	SP	b#	
EG10001	alr	None	alanine racemase, biosynthetic, PLP-binding	Enzyme; Amino acid biosynthesis: Alanine	Alanine racemase, biosynthetic, PLP-binding	P0A6B4	b4053
EG10002	modB	chlJ	molybdate ABC transporter permease; chlorate resistance protein	Transport; Transport of small molecules: Anions	Molybdate ABC transporter permease; chlorate resistance	P0AF01	b0764
EG10003	cysZ	None	sulfate transporter, sulfite inhibited	Putative transport; Transport of small molecules: Anions	Sulfate transporter, sulfite inhibited	P0A6J3	b2413
EG10004	dfp	coaBC	fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding	Phenotype; DNA - replication, repair, restriction/modification	Coenzyme A biosynthesis, bifunctional enzyme; phosphopantothenoylcysteine decarboxylase (N) and phosphopantothenoylcysteine synthase (C)	P0ABQ0	b3639
EG10005	fruB	fpr, fruF	fused fructose-specific PTS enzymes: IIA component/HPr component	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	Multiphosphoryl transfer protein: fructose PTS EIIA and FPr; MTP-Fru; diphosphoryl transfer protein (DTP)	P69811	b2169
EG10006	dcuB	genF	C4-dicarboxylate transporter, anaerobic; DcuS co-sensor	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	C4-dicarboxylate transporter, anaerobic; DcuS co-sensor	P0ABN9	b4123
EG10007	hisM	None	histidine ABC transporter permease	Transport; Transport of small molecules: Amino acids, amines	Histidine ABC transporter permease	P0AEU3	b2307
EG10008	zraS	hydH	sensory histidine kinase in two-component regulatory system with ZraR	Enzyme; Energy metabolism, carbon: Fermentation	Two component sensor kinase for ZraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein	P14377	b4003
EG10009	icdC'	icd	pseudogene, isocitrate dehydrogenase C-terminal gene fragment	Null	Pseudogene, isocitrate dehydrogenase, e14 attachment site	P08200	b4519
EG10010	rhsE'	None	pseudogene, Rhs family	Null	Pseudogene, Rhs family protein with putative toxin domain	P24211	b1456
EG10011	yaaA	None	peroxide resistance protein, lowers intracellular iron	Null	Peroxide resistance protein, lowers intracellular iron	P0A8I3	b0006
EG10012	cydC	mdrA, mdrH, surB, ycaB	glutathione/cysteine ABC transporter export permease/ATPase	Transport; Transport of small molecules: Other	Glutathione/cysteine ABC transporter permease/ATPase; exports glutathione and cysteine to the periplasm as required for cytochrome assembly	P23886	b0886
EG10013	mepM	yebA	murein DD-endopeptidase, space-maker hydrolase, septation protein	Enzyme; Murein sacculus, peptidoglycan	Murein DD-endopeptidase, space-maker hydrolase, septation protein; ampicillin sensitivity	P0AFS9	b1856
EG10014	acrD	yffA	aminoglycoside/multidrug efflux system	Putative transport; Drug/analog sensitivity	Aminoglycoside efflux pump; RND-type transporter	P24177	b2470
EG10015	rodZ	yfgA	MreB assembly cytoskeletal protein	Putative membrane; Not classified	Cytoskeletal protein required for MreB assembly; required for swarming phenotype; transmembrane protein	P27434	b2516
EG10016	garL	yhaF	alpha-dehydro-beta-deoxy-D-glucarate aldolase	Null	2-dehydro-3-deoxygalactarate aldolase; homohexameric	P23522	b3126
EG10017	ispB	cel, yhbD	octaprenyl diphosphate synthase	Enzyme; Biosynthesis of cofactors, carriers: Menaquinone, ubiquinone	Octaprenyl diphosphate synthase, isoprenoid biosynthesis	P0AD57	b3187
EG10018	csrD	yhdA	targeting factor for csrBC sRNA degradation	Null	Targeting factor for csrBC sRNA degradation by RNase E; degenerate GGDEF/EAL protein; carbon flux regulator; indirectly affects CsrA function	P13518	b3252
EG10020	cpxR	yiiA	response regulator in two-component regulatory system with CpxA	Putative regulator; Not classified	Response regulator, periplasmic stress response; CpxA is cognate sensor protein	P0AE88	b3912
EG10021	yjiA	None	metal-binding GTPase	Null	Metal-binding GTPase, function unknown; GTP-binding protein; may have role in zinc homeostasis	P24203	b4352
EG10022	aceA	icl	isocitrate lyase	Enzyme; Central intermediary metabolism: Glyoxylate bypass	Isocitrate lyase, acetate utilization, glyoxylate shunt; tetrameric	P0A9G6	b4015
EG10023	aceB	mas	malate synthase A	Enzyme; Central intermediary metabolism: Glyoxylate bypass	Malate synthase A; glyoxylate shunt enzyme	P08997	b4014
EG10024	aceE	None	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase	Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement	P0AFG8	b0114
EG10025	aceF	None	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase	Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement	P06959	b0115
EG10026	aceK	None	isocitrate dehydrogenase kinase/phosphatase	Enzyme; Central intermediary metabolism: Glyoxylate bypass	Isocitrate dehydrogenase kinase/phosphatase	P11071	b4016
EG10027	ackA	None	acetate kinase A and propionate kinase 2	Enzyme; Energy metabolism, carbon: Electron transport	Acetate kinase, produces acetyl phosphate; mutants are fluoroacetate resistant; creBC regulon; binds Zn(II)	P0A6A3	b2296
EG10028	pflA	act	pyruvate formate-lyase 1-activating enzyme; [formate-C-acetyltransferase 1]-activating enzyme; PFL activase	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Pyruvate formate-lyase 1-activating enzyme; [formate-C-acetyltransferase 1]-activating enzyme; PFL activase	P0A9N4	b0902
EG10029	ada	None	fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase	Enzyme; DNA - replication, repair, restriction/modification	O6-methylguanine-DNA methyltransferase, transcription factor; inducible; DNA repair against methylating and alkylating agents; binds Zn(II)	P06134	b2213
EG10030	add	None	adenosine deaminase	Enzyme; Salvage of nucleosides and nucleotides	Adenosine deaminase	P22333	b1623
EG10031	adhE	adhC, ana	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase	Enzyme; Energy metabolism, carbon: Fermentation	Alcohol dehydrogenase, largely anaerobic; aerobic antioxidant; acetaldehyde-CoA dehydrogenase, CoA-linked; allyl alcohol resistance	P0A9Q7	b1241
EG10032	adk	dnaW, plsA	adenylate kinase	Enzyme; Purine ribonucleotide biosynthesis	Adenylate kinase; weak nucleoside diphosphate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; monomeric	P69441	b0474
EG10033	agp	None	glucose-1-phosphatase/inositol phosphatase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Periplasmic glucose-1-phosphatase, acidic; has inositol phosphatase activity	P19926	b1002
EG10034	alaS	act, ala-act, lovB	alanyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Alanine--tRNA ligase, autorepressor	P00957	b2697
EG10035	aldA	ald	aldehyde dehydrogenase A, NAD-linked	Enzyme; Energy metabolism, carbon: Fermentation	Aldehyde dehydrogenase, NAD-dependent; active on lactaldehyde, glycolaldehyde, and other aldehydes	P25553	b1415
EG10036	puuC	aldH	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase; succinate semialdehyde dehydrogenase	Enzyme; Degradation of small molecules: Carbon compounds	Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase; succinate semialdehyde dehydrogenase; putrescine utilization pathway	P23883	b1300
EG10037	alkB	aidD	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions	Putative enzyme; DNA - replication, repair, restriction/modification	Alkylated DNA repair enzyme; alpha-ketoglutarate- and Fe(II)-dependent dioxygenase; releases replication blocks by oxidative demethylation of 1-methyladenine and 3-methylcytosine residues in ssDNA and dsDNA	P05050	b2212
EG10039	amn	None	AMP nucleosidase	Enzyme; Salvage of nucleosides and nucleotides	AMP nucleosidase	P0AE12	b1982
EG10040	ampC	ampA	penicillin-binding protein; beta-lactamase, intrinsically weak	Enzyme; Drug/analog sensitivity	Penicillin-binding protein; beta-lactamase, intrinsically weak; penicillin resistance; affects morphology	P00811	b4150
EG10041	ampD	None	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	Regulator; Not classified	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	P13016	b0110
EG10042	ampE	None	ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation	Regulator; Drug/analog sensitivity	Ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation	P0AE14	b0111
EG10043	cysQ	amt, amtA	3'(2'),5'-bisphosphate nucleotidase	Enzyme; Central intermediary metabolism: Sulfur metabolism	3'(2'),5'-bisphosphate nucleotidase; converts pAp to AMP; lithium- and calcium-inhbited; putative PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase	P22255	b4214
EG10044	osmE	anr	osmotically-inducible lipoprotein	Regulator; Global regulatory functions	Osmotically inducible lipoprotein, function unknown	P0ADB1	b1739
EG10045	ansA	None	cytoplasmic L-asparaginase 1	Enzyme; Degradation of small molecules: Amino acids	L-asparaginase 1, cytoplasmic, low affinity	P0A962	b1767
EG10046	ansB	None	periplasmic L-asparaginase 2	Enzyme; Degradation of small molecules: Amino acids	L-asparaginase 2, periplasmic, high affinity	P00805	b2957
EG10047	apaG	corD(S.t.), temP	protein associated with Co2+ and Mg2+ efflux	Null	Expressed as part of complex ksgA operon, function unknown; Salmonella ortholog involved in Co2+ and Mg2+ efflux; upstream of apaH	P62672	b0050
EG10048	apaH	cfcB	diadenosine tetraphosphatase	Enzyme; Salvage of nucleosides and nucleotides	Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical	P05637	b0049
EG10049	appA	None	phosphoanhydride phosphorylase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Acid phosphatase, pH 2.5, exopolyphosphatase; phytase	P07102	b0980
EG10050	appY	None	global transcriptional activator; DLP12 prophage	Regulator; Central intermediary metabolism: Pool, multipurpose conversions; Phage or Prophage Related	Global transcription regulator, AraC family, DLP12 prophage	P05052	b0564
EG10051	apt	None	adenine phosphoribosyltransferase	Enzyme; Salvage of nucleosides and nucleotides	Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ade	P69503	b0469
EG10052	araA	None	L-arabinose isomerase	Enzyme; Degradation of small molecules: Carbon compounds	L-arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose	P08202	b0062
EG10053	araB	None	L-ribulokinase	Enzyme; Degradation of small molecules: Carbon compounds	Ribulokinase	P08204	b0063
EG10054	araC	None	ara regulon transcriptional activator; autorepressor	Regulator; Degradation of small molecules: Carbon compounds	Transcriptional activator for the ara regulon; autorepressor in the absence of arabinose co-activator	P0A9E0	b0064
EG10055	araD	None	L-ribulose-5-phosphate 4-epimerase	Enzyme; Degradation of small molecules: Carbon compounds	L-ribulose-5-phosphate 4-epimerase	P08203	b0061
EG10056	araE	None	arabinose transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Low-affinity L-arabinose transport; L-arabinose proton symport	P0AE24	b2841
EG10057	araF	None	L-arabinose ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	L-arabinose ABC transporter periplasmic binding protein	P02924	b1901
EG10058	araG	None	L-arabinose ABC transporter ATPase	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	L-arabinose ABC transporter ATPase	P0AAF3	b1900
EG10059	araH	None	L-arabinose ABC transporter permease	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	L-arabinose ABC transporter permease	P0AE26	b4460
EG10060	araJ	None	L-arabinose-inducible putative transporter, MFS family	Transport; Degradation of small molecules: Carbon compounds	L-arabinose-inducible MFS family transporter, function unknown; not involved in arabinose uptake or utilization	P23910	b0396
EG10061	arcA	cpxC, dye, fexA, msp, seg, sfrA	response regulator in two-component regulatory system with ArcB or CpxA	Regulator; Global regulatory functions	Response regulator, represses aerobic genes during anaerobic growth; auto-activator; activates some anaerobic genes; phosphorylated by two-component sensor kinase ArcB; RpoS represssor	P0A9Q1	b4401
EG10062	arcB	None	aerobic respiration control sensor histidine protein kinase, cognate to two-component response regulators ArcA and RssB	Enzyme; Global regulatory functions	Aerobic respiration control sensor histidine protein kinase; phosphorylates response regulator proteins ArcA and RssB	P0AEC3	b3210
EG10063	argA	Arg1, Arg2, argB	amino acid N-acetyltransferase and inactive acetylglutamate kinase	Enzyme; Amino acid biosynthesis: Arginine	N-acetylglutamate synthase; first step in arginine biosynthesis; amino-acid acetyltransferase; L-glutamate N-acetyltransferase; growth on acetylornithine; feedback inhibited by L-arginine	P0A6C5	b2818
EG10064	argB	None	acetylglutamate kinase	Enzyme; Amino acid biosynthesis: Arginine	N-acetylglutamate kinase	P0A6C8	b3959
EG10065	argC	Arg2, argH	N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding	Enzyme; Amino acid biosynthesis: Arginine	N-acetyl-gamma-glutamyl-phosphate reductase	P11446	b3958
EG10066	argD	alaB, Arg1, argG, dapC, dtu	bifunctional acetylornithine aminotransferase and succinyldiaminopimelate aminotransferase	Enzyme; Amino acid biosynthesis: Arginine	Acetylornithine aminotransferase; succinyldiaminopimelate aminotransferase, PLP-dependent	P18335	b3359
EG10067	argF	Arg5, argD	ornithine carbamoyltransferase 2, chain F; CP4-6 prophage	Enzyme; Amino acid biosynthesis: Arginine; Phage or Prophage Related	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase; CP4-6 putative prophage remnant	P06960	b0273
EG10068	argG	Arg6, argE	argininosuccinate synthetase	Enzyme; Amino acid biosynthesis: Arginine	Argininosuccinate synthase	P0A6E4	b3172
EG10069	argI	None	ornithine carbamoyltransferase 1	Enzyme; Amino acid biosynthesis: Arginine	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase	P04391	b4254
